State,Month,sick death,all death
Alabama,April,61.84615384615385,973.3333333333334
Alabama,August,51.4,915.1
Alabama,December,73.26470588235294,1042.5
Alabama,February,79.02702702702703,1052.7567567567567
Alabama,January,93.25581395348837,1081.8837209302326
Alabama,July,50.25,915.25
Alabama,June,51.05263157894737,924.4473684210526
Alabama,March,68.6923076923077,998.2820512820513
Alabama,May,56.225,935.9
Alabama,November,58.26829268292683,958.829268292683
Alabama,October,54.46666666666667,934.7333333333333
Alabama,September,51.717948717948715,923.4358974358975
Alaska,April,4.948717948717949,77.6923076923077
Alaska,August,4.2,76.95
Alaska,December,5.470588235294118,82.58823529411765
Alaska,February,5.27027027027027,77.0
Alaska,January,4.813953488372093,82.25581395348837
Alaska,July,3.4,77.525
Alaska,June,3.973684210526316,77.10526315789474
Alaska,March,5.076923076923077,80.2051282051282
Alaska,May,4.6,76.175
Alaska,November,4.926829268292683,78.73170731707317
Alaska,October,5.022222222222222,78.33333333333333
Alaska,September,4.333333333333333,77.74358974358974
Arizona,April,67.74358974358974,1029.2307692307693
Arizona,August,48.375,947.1
Arizona,December,69.08823529411765,1025.6764705882354
Arizona,February,84.86486486486487,1088.162162162162
Arizona,January,90.23255813953489,1099.3953488372092
Arizona,July,47.125,959.1
Arizona,June,53.526315789473685,980.6052631578947
Arizona,March,79.8974358974359,1062.076923076923
Arizona,May,59.575,981.675
Arizona,November,57.73170731707317,977.390243902439
Arizona,October,53.355555555555554,950.8
Arizona,September,52.84615384615385,948.2564102564103
Arkansas,April,45.333333333333336,586.1794871794872
Arkansas,August,36.425,550.75
Arkansas,December,54.55882352941177,625.6470588235294
Arkansas,February,60.4054054054054,631.1891891891892
Arkansas,January,67.4186046511628,660.2093023255813
Arkansas,July,37.65,559.8
Arkansas,June,40.60526315789474,558.6052631578947
Arkansas,March,51.333333333333336,610.7179487179487
Arkansas,May,42.05,572.425
Arkansas,November,43.75609756097561,583.5365853658536
Arkansas,October,40.577777777777776,568.2
Arkansas,September,38.05128205128205,556.5384615384615
California,April,418.05128205128204,4820.410256410257
California,August,319.925,4489.75
California,December,462.94117647058823,5103.911764705882
California,February,550.0,5264.4324324324325
California,January,612.1395348837209,5480.674418604651
California,July,328.225,4510.75
California,June,348.8421052631579,4584.868421052632
California,March,490.7435897435897,5039.538461538462
California,May,375.225,4644.05
California,November,397.8780487804878,4766.487804878048
California,October,353.4888888888889,4590.955555555555
California,September,330.46153846153845,4520.717948717948
