,US State Name,State_x,Month_x,Avg_temp,Density (Pop./ mi2),Population,sick death,all death
71,Michigan,MI,February,23.488888888888887,175.0,"9,922,576",149.9189189189189,1915.675675675676
72,Minnesota,MN,February,16.7,68.0,"5,489,594",68.0,839.6216216216217
73,Mississippi,MS,February,48.40000000000001,63.0,"2,992,333",49.16216216216216,626.5405405405405
74,Missouri,MO,February,35.85,88.0,"6,083,672",104.18918918918921,1203.0
75,Montana,MT,February,26.95,7.0,"1,032,949",14.432432432432432,190.62162162162159
76,Nebraska,NE,February,28.2375,24.0,"1,896,190",31.135135135135137,327.97297297297297
77,Nevada,NV,February,37.28,26.0,"2,890,845",38.54054054054054,452.24324324324317
78,New Hampshire,NH,February,15.2,148.0,"1,330,608",21.83783783783784,242.1891891891892
79,New Jersey,NJ,February,35.7,1218.0,"8,958,013",110.4864864864865,1503.8108108108108
80,New Mexico,NM,February,41.533333333333346,17.0,"2,085,109",35.594594594594604,368.5135135135135
81,New York,NY,February,29.722222222222218,420.0,"19,795,791",188.5675675675676,2049.027027027027
82,North Carolina,NC,February,44.16666666666666,206.0,"10,042,802",169.54054054054058,1774.5405405405404
83,North Dakota,ND,February,15.4,10.0,"756,927",10.972972972972975,121.89189189189187
84,Ohio,OH,February,30.4,284.0,"11,614,373",187.75675675675674,2374.5945945945946
85,Oklahoma,OK,February,42.75,57.0,"3,911,338",84.16216216216216,806.8378378378377
86,Oregon,OR,February,40.52500000000001,41.0,"4,028,977",47.8918918918919,690.8648648648648
87,Pennsylvania,PA,February,31.2625,286.0,"12,802,503",215.86486486486487,2730.513513513513
88,Rhode Island,RI,February,32.0,1021.0,"1,056,298",21.324324324324323,204.75675675675674
89,South Carolina,SC,February,49.625,162.0,"4,896,146",78.97297297297297,938.8648648648648
90,South Dakota,SD,February,22.025,11.0,"858,469",16.89189189189189,151.48648648648648
91,Tennessee,TN,February,42.43333333333333,160.0,"6,600,299",122.5135135135135,1330.054054054054
92,Texas,TX,February,51.171428571428564,105.0,"27,469,114",336.40540540540536,3755.756756756757
93,Utah,UT,February,33.65000000000001,36.0,"2,995,919",29.783783783783782,336.4864864864865
94,Vermont,VT,February,21.5,67.0,"626,042",12.270270270270268,113.75675675675676
95,Virginia,VA,February,40.325,212.0,"8,382,993",104.05405405405405,1317.8918918918919
96,Washington,WA,February,39.857142857142854,107.0,"7,170,351",92.89189189189187,1068.6756756756756
97,West Virginia,WV,February,35.375,76.0,"1,844,128",45.02702702702703,455.24324324324317
98,Wisconsin,WI,February,22.950000000000006,106.0,"5,771,337",78.89189189189189,1016.1891891891893
99,Wyoming,WY,February,26.975,6.0,"586,107",8.783783783783784,91.43243243243244
100,Alabama,AL,March,56.5,95.0,"4,858,979",68.69230769230771,998.2820512820513
101,Alaska,AK,March,19.92,1.0,"738,432",5.0769230769230775,80.2051282051282
102,Arizona,AZ,March,54.44,60.0,"6,828,065",79.8974358974359,1062.076923076923
103,Arkansas,AR,March,53.4,57.0,"2,978,204",51.33333333333334,610.7179487179487
104,California,CA,March,54.49375000000001,251.0,"39,144,818",490.7435897435897,5039.538461538462
105,Colorado,CO,March,39.84,52.0,"5,456,574",52.56410256410256,706.6923076923077
106,Connecticut,CT,March,38.75,741.0,"3,590,886",52.5897435897436,596.2820512820513
