US State Name,Unnamed: 0,Avg_temp,Density (Pop./ mi2),Population,sick death,all death,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Sick_death_rate(in 1000 people_wkly),All_death_rate(in 1000 people_wkly),sick of all death,yearly_sick_deaths_per 1000,yearly_all_deaths_per_1000
Maryland,294,55.04166667,618,6006401,65.4643375,887.6770841,0.24,0.09,0.12,0.27,0.14,0.15,0.010899095,0.147788515,0.07333816,5.667529607,76.85002778
Idaho,286,50.55277778,20,1654930,15.40944543,243.8891162,0.27,0.09,0.11,0.24,0.13,0.15,0.009311237,0.147371258,0.062793301,4.841843235,76.63305421
Arizona,277,63.80333333,60,6828065,63.6967847,1004.122383,0.25,0.09,0.12,0.25,0.12,0.17,0.009328673,0.147058117,0.062905576,4.850909891,76.47022091
Nevada,302,52.535,26,2890845,30.19109121,423.7367936,0.24,0.09,0.13,0.27,0.13,0.16,0.010443691,0.14657887,0.070802237,5.430719194,76.22101242
Virginia,320,57.8375,212,8382993,79.68764095,1220.650591,0.24,0.09,0.12,0.27,0.13,0.15,0.00950587,0.145610356,0.064784953,4.943052355,75.71738487
Minnesota,297,42.245,68,5489594,56.33669968,796.7272555,0.24,0.09,0.12,0.26,0.14,0.15,0.010262453,0.145134095,0.070243478,5.33647549,75.46972925
Georgia,284,64.49166667,177,10214860,88.70170371,1471.583165,0.26,0.09,0.12,0.27,0.12,0.14,0.008683595,0.144062979,0.059832707,4.515469221,74.91274924
Hawaii,285,74.97708333,222,1431603,21.08929151,203.081019,0.23,0.07,0.13,0.25,0.13,0.18,0.014731243,0.141855681,0.103584858,7.6602463,73.7649543
Washington,321,51.00119048,107,7170351,74.77146896,1005.087858,0.24,0.09,0.13,0.26,0.13,0.15,0.010427867,0.140172756,0.073862071,5.422491014,72.8898329
Texas,317,66.00436508,105,27469114,261.6862713,3501.046904,0.28,0.1,0.13,0.26,0.11,0.12,0.009526564,0.127453944,0.074132812,4.953813257,66.27605062
California,279,59.95677083,251,39144818,415.660097,4818.045589,0.24,0.1,0.14,0.27,0.12,0.14,0.010618522,0.12308259,0.085453905,5.521631253,64.00294685
Colorado,280,49.06666667,52,5456574,42.45421219,669.6470419,0.24,0.09,0.14,0.27,0.13,0.14,0.007780379,0.122722984,0.062888088,4.04579693,63.81595151
Alaska,276,32.78083333,1,738432,4.669710171,78.52544822,0.27,0.09,0.14,0.26,0.13,0.11,0.006323819,0.106340798,0.059416224,3.288385781,55.29721501
Utah,318,51.45,36,2995919,22.38449163,317.2022475,0.32,0.11,0.13,0.24,0.1,0.11,0.007471661,0.105878112,0.070172797,3.885263803,55.05661825
New York,306,50.66111111,420,19795791,150.2586431,1880.810169,0.22,0.09,0.13,0.26,0.13,0.16,0.007590434,0.09501061,0.079349693,3.947025628,49.40551696
