Month_x,all death
April,49654.1282051282
August,46388.23611111112
December,51836.94117647058
February,53236.189189189194
January,54987.06976744184
July,46641.174999999996
June,47054.473684210534
March,51558.5641025641
May,47682.900000000016
November,48755.30687929956
October,48052.12628726288
September,46926.41318681318
