City,State,January,February,March,April,May,June,July,August,September,October,November,December,Annual
AMARILLO,TX,37,40.3,47.9,56.3,65.6,74.4,78.3,76.8,69.5,58.3,46.3,36.9,57.3
AUSTIN/CITY,TX,51.5,55,61.7,69.2,76.6,82.2,85,85.8,80,71.2,61,52.5,69.3
AUSTIN/BERGSTROM,TX,49.2,52.1,59.2,67.3,75.2,81,83.4,83.7,77.8,69,58.4,50.4,67.2
BROWNSVILLE,TX,61.1,64.2,69.3,74.8,80.3,83.9,84.9,85.3,81.8,76.3,69.4,62.2,74.5
CORPUS CHRISTI,TX,57.1,60.5,66.1,72.4,78.3,82.4,83.9,84.7,81,74.6,66.1,58.5,72.1
DALLAS-FORT WORTH,TX,45.9,49.9,57.6,65.5,73.9,81.3,85.3,85.6,78,67.5,56.6,47.1,66.2
DALLAS-LOVE FIELD,TX,47,51,58.6,66.5,74.8,82.2,86.4,86.6,78.9,68.3,57.4,48,67.1
DEL RIO,TX,52.2,56.8,64.1,71.6,78.9,84,85.9,86.2,80.3,71.7,60.8,52.4,70.4
EL PASO,TX,45.1,50.1,56.6,64.6,73.9,81.7,82.8,81.1,75.4,65.1,53.1,44.8,64.5
GALVESTON,TX,55.2,57.6,63.4,70.1,77.6,82.9,84.5,85,81.6,74.3,65.1,57.3,71.2
HOUSTON,TX,53.3,56.8,62.5,69,76.1,81.6,83,83.3,79,71.4,62.5,54.9,69.5
LUBBOCK,TX,40.2,44.5,51.9,60.5,69.8,77.4,80.3,79,71.7,61.5,49.8,40.6,60.6
MIDLAND-ODESSA,TX,43.9,48.5,55.6,64.2,73.6,80.3,82.1,81.2,74.5,64.8,52.9,44.4,63.8
PORT ARTHUR,TX,52.7,55.9,62,68.6,75.9,81.2,83,83.1,79,70.6,61.7,54.3,69
SAN ANGELO,TX,46.4,50.3,57.8,66,74.5,80.4,83.1,82.7,75.6,66.2,55.3,46.7,65.4
SAN ANTONIO,TX,52.4,56.3,63,70.1,77.4,82.6,84.3,85.8,79.8,71.5,61.4,52.9,69.8
VICTORIA,TX,53.9,57.3,63.4,69.9,76.9,82,83.9,84.3,79.8,72.2,63,55.2,70.2
WACO,TX,47.2,50.8,58.2,66.1,74.4,81.2,85.2,85.3,78.1,68.3,57.5,48.3,66.7
WICHITA FALLS,TX,42,45.9,54.1,62.6,71.6,79.5,84.4,84,75.7,64.5,52.7,42.8,63.3
MILFORD,UT,27.9,33.1,41.5,48.6,57.4,66.9,74.4,72.9,63.2,50.8,37.8,27.8,50.2
SALT LAKE CITY,UT,29.5,34.2,43.6,50.6,59.8,69.7,78.7,77,66.1,53,40,30.3,52.7
BURLINGTON,VT,18.7,21.5,31,44.8,56.3,65.8,70.6,68.8,60.5,48.1,38.2,25.8,45.8
LYNCHBURG,VA,35.1,38.2,45.9,55.4,63.1,71.6,75.3,74.1,67,56.2,46.8,37.6,55.5
NORFOLK,VA,40.4,42.6,49.4,58.2,66.6,75.3,79.6,77.9,72.3,62.1,52.9,44.1,60.1
RICHMOND,VA,37.9,40.9,48.6,58.2,66.4,75.3,79.3,77.5,70.6,59.7,50.4,41,58.8
ROANOKE,VA,36.6,39.6,47.3,56.7,64.6,72.9,76.7,75.4,68.1,57.7,48.1,39,56.9
OLYMPIA,WA,39.8,41,44.5,48.3,54.2,59.1,63.8,64.1,58.9,50.3,43.3,38.4,50.5
QUILLAYUTE,WA,41.6,42.1,44.1,46.7,51.3,55.3,58.9,59.6,56.6,50,44.2,40.4,49.2
SEATTLE C.O.,WA,43,44.3,47.6,51.4,57.3,62,66.2,66.6,61.9,53.7,46.5,41.4,53.5
SEATTLE SEA-TAC AP,WA,42,43.4,46.5,50.3,56,60.9,65.7,66.1,61.3,52.8,45.4,40.6,52.6
SPOKANE,WA,29.5,33,40.2,47,55.1,62.1,69.8,69.3,60.2,47.6,35.7,27.4,48.1
WALLA WALLA,WA,35.5,39.1,46.3,52.2,59.4,66.5,75,74.2,65.2,53.3,41.8,33.4,53.5
YAKIMA,WA,31,36.1,43.2,49.1,57.1,63.9,70.6,69.3,60.8,49,37.3,28.5,49.7
BECKLEY,WV,31.1,34.4,42.1,52.1,59.8,67.4,70.6,69.7,63.2,53.2,43.9,34.2,51.8
CHARLESTON,WV,34.4,37.7,45.8,56.1,63.7,71.9,75.4,74.3,67.3,56.5,47,37.4,55.6
ELKINS,WV,29.2,32.2,39.8,49.7,58.1,66.3,70,69.1,62.2,51.2,41.9,32.5,50.2
HUNTINGTON,WV,33.7,37.2,45.9,56.2,64,72.1,75.7,74.8,67.6,56.6,46.8,37,55.6
GREEN BAY,WI,16.6,20.3,30.8,43.9,55,64.7,69.1,67.3,59.2,47.1,34.6,21.5,44.2
LA CROSSE,WI,17.4,22.5,34.5,48.6,59.7,69.2,73.7,71.4,62.8,50.2,35.9,21.6,47.3
MADISON,WI,18.8,23.1,34,46.6,57.3,67,71.3,69.2,61,48.9,36.2,23,46.4
MILWAUKEE,WI,22.3,25.9,35,45.6,55.7,66.2,71.8,70.7,63.1,51.3,39,26.5,47.8
CASPER,WY,24.7,26.7,35.2,42.7,52.2,62.2,70.5,69,57.9,45.2,33.2,23.8,45.3
CHEYENNE,WY,28.8,29.6,35.9,42.8,52.4,62.1,69.4,67.6,58.2,46.3,35.3,27.7,46.3
LANDER,WY,23,25,34.9,42.9,52.7,62.2,70.4,69,59,45.6,32.8,23.1,45.1
SHERIDAN,WY,23.8,26.6,35.2,43.6,52.5,61.6,70,69,57.9,45.5,32.7,22.9,45.1
GUAM,PC,80.2,79.9,80.7,81.9,82.6,82.6,81.9,81.4,81.4,81.7,81.8,81.2,81.4
JOHNSTON ISLAND,PC,78.3,78.4,78.6,79.5,80.7,82.2,83,83.6,83.4,82.5,80.6,79.1,80.8
KOROR,PC,81.4,81.3,81.7,82.3,82.4,81.6,81.3,81.5,81.7,82,82.4,81.9,81.8
KWAJALEIN-MARSHALL IS.,PC,81.7,81.9,82.3,82.5,82.8,82.5,82.3,82.5,82.6,82.5,82.3,82,82.3
MAJURO-MARSHALL IS,PC,81.7,81.9,82.1,82.1,82.3,82.1,82.1,82.3,82.4,82.4,82.2,81.8,82.1
PAGO PAGO-AMER SAMOA,PC,82.5,82.7,82.8,82.4,81.7,80.9,80.3,80.3,81,81.4,82,82.3,81.7
POHNPEI-CAROLINE IS.,PC,80.7,80.9,81.1,81.1,81.2,81,80.8,81,80.8,80.8,80.9,80.7,80.9
CHUUK E. CAROLINE IS.,PC,81.2,81.3,81.6,81.8,82.1,81.8,81.5,81.3,81.5,81.5,81.8,81.6,81.6
WAKE ISLAND,PC,78.7,78.1,78.6,79.7,81.2,82.9,83.4,83.6,83.7,82.9,81.4,79.9,81.2
YAP-W CAROLINE IS.,PC,82.2,82.2,82.6,83.4,83.7,83,82.5,82.4,82.6,82.8,82.9,82.6,82.7
SAN JUAN,PR,77.6,77.9,78.9,80.3,81.9,83.3,83.4,83.7,83.5,82.6,80.6,78.7,81
